,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,2.883740600231886,2.8803804183827313,2.8870030975701857,2.8838332884764175,2.8813736881055276,2.8768536906439697,2.8777292495981497,2.877724260764101,2.877648414819146,2.877216814323213
max_depth = 17,2.8800092261490677,2.8839327314851935,2.867711655676196,2.87715845950893,2.882461817461928,2.874578947817976,2.872178011758524,2.8766352686229566,2.876700265098813,2.8768462775913903
max_depth = 19,2.88366717272291,2.8753258071840144,2.880711533394986,2.886619133942073,2.879891823282798,2.8741808978008265,2.877839272915483,2.8767775801628725,2.879480133337743,2.876513164078454
max_depth = 21,2.8880080851543317,2.8811688997814993,2.8843162989292144,2.880538284263579,2.8747192991597923,2.8765512160129596,2.8793600748179284,2.8804327544961787,2.87576297418946,2.876262461047211
max_depth = 23,2.89007676547812,2.8901572347378544,2.876653199593854,2.874794746592225,2.873300086807487,2.8794829057432643,2.87687072688164,2.8823612244177883,2.881567472904747,2.8822901693830385
max_depth = 25,2.882369978220091,2.8821108780334455,2.8771418275440857,2.88238705131643,2.876910748583614,2.8780321008680514,2.8734239556741477,2.8803033059504894,2.881159729936792,2.8842316221975817
max_depth = 27,2.8848519529001697,2.8810106760859027,2.884674512959835,2.8838594948831506,2.877522800185967,2.878896641432021,2.8776775783024995,2.882601291883928,2.87984627292062,2.882570786078114
max_depth = 29,2.8800257146697597,2.8862939634143614,2.883499696866699,2.882693623913274,2.8798943632386176,2.8783464456956356,2.879347731134714,2.881331225739215,2.880418820528296,2.8837060424837575
max_depth = 31,2.8843853187053536,2.8867376852415942,2.881346429329934,2.8807945306896308,2.879314027913702,2.878906147299473,2.879629280148593,2.8817792999623237,2.8803768116719475,2.8834248142454477
max_depth = 33,2.885218364374,2.882342742323244,2.8852706638509336,2.880722945826867,2.879792533556896,2.8791002575946543,2.879488201257622,2.8818965651594137,2.880319176263151,2.8835020038171977
max_depth = 35,2.88586815103,2.8814783574586214,2.8852379313575747,2.8808910727277355,2.879799336505656,2.879084406856391,2.87967733746499,2.8818965651594137,2.8803191762631504,2.8835020038171977
